customer_id,device,login_status,timestamp
236,Desktop,Success,2026-05-27 10:17:47.375465
781,Desktop,Failed,2025-06-24 10:17:47.375475
299,Mobile,Failed,2026-04-13 10:17:47.375478
827,Desktop,Failed,2026-05-26 10:17:47.375479
578,Mobile,Success,2026-05-18 10:17:47.375481
162,Mobile,Failed,2026-05-13 10:17:47.375483
77,Mobile,Success,2025-07-04 10:17:47.375484
873,Mobile,Success,2026-02-26 10:17:47.375486
546,Desktop,Success,2025-12-15 10:17:47.375487
223,Mobile,Failed,2025-07-16 10:17:47.375489
513,Desktop,Success,2025-06-01 10:17:47.375490
327,Desktop,Success,2026-05-21 10:17:47.375492
537,Mobile,Failed,2025-12-20 10:17:47.375493
359,Desktop,Success,2025-12-17 10:17:47.375494
71,Desktop,Success,2025-08-15 10:17:47.375496
75,Mobile,Success,2025-12-10 10:17:47.375497
899,Mobile,Success,2025-11-07 10:17:47.375499
679,Mobile,Failed,2025-11-02 10:17:47.375501
682,Desktop,Success,2026-05-20 10:17:47.375502
442,Mobile,Success,2026-02-01 10:17:47.375504
86,Desktop,Failed,2025-09-26 10:17:47.375505
444,Mobile,Success,2025-09-29 10:17:47.375506
295,Desktop,Success,2025-11-12 10:17:47.375508
387,Mobile,Success,2026-04-20 10:17:47.375509
890,Mobile,Failed,2025-10-11 10:17:47.375511
566,Mobile,Success,2025-10-29 10:17:47.375512
721,Desktop,Failed,2025-11-16 10:17:47.375514
253,Mobile,Failed,2026-02-21 10:17:47.375515
723,Mobile,Success,2025-09-20 10:17:47.375517
771,Desktop,Failed,2025-11-05 10:17:47.375518
377,Desktop,Failed,2025-10-16 10:17:47.375520
26,Desktop,Success,2025-12-27 10:17:47.375521
524,Mobile,Success,2025-09-09 10:17:47.375523
517,Desktop,Failed,2026-03-23 10:17:47.375524
143,Desktop,Success,2025-11-16 10:17:47.375526
356,Desktop,Success,2026-03-16 10:17:47.375527
830,Desktop,Success,2025-07-06 10:17:47.375529
737,Mobile,Success,2026-04-02 10:17:47.375530
644,Desktop,Failed,2025-12-19 10:17:47.375532
444,Desktop,Failed,2025-12-28 10:17:47.375533
543,Mobile,Failed,2025-08-26 10:17:47.375535
688,Mobile,Success,2026-02-22 10:17:47.375536
960,Desktop,Success,2025-09-02 10:17:47.375538
827,Desktop,Failed,2025-07-17 10:17:47.375539
63,Desktop,Failed,2026-02-15 10:17:47.375541
959,Desktop,Success,2025-12-29 10:17:47.375542
982,Desktop,Failed,2025-07-10 10:17:47.375543
508,Desktop,Failed,2026-02-24 10:17:47.375545
538,Mobile,Failed,2026-03-04 10:17:47.375546
890,Mobile,Success,2025-09-09 10:17:47.375548
875,Mobile,Failed,2025-08-11 10:17:47.375549
508,Mobile,Failed,2026-05-22 10:17:47.375551
526,Mobile,Success,2026-02-06 10:17:47.375552
130,Mobile,Failed,2025-09-23 10:17:47.375554
28,Mobile,Success,2026-03-19 10:17:47.375556
805,Desktop,Success,2026-01-23 10:17:47.375564
708,Desktop,Failed,2026-03-16 10:17:47.375565
696,Mobile,Failed,2025-12-08 10:17:47.375567
116,Mobile,Failed,2025-12-27 10:17:47.375568
696,Desktop,Success,2025-07-09 10:17:47.375570
731,Mobile,Success,2025-08-07 10:17:47.375571
852,Desktop,Success,2025-06-14 10:17:47.375573
767,Desktop,Failed,2026-02-15 10:17:47.375574
565,Mobile,Success,2025-09-10 10:17:47.375575
914,Desktop,Failed,2026-05-02 10:17:47.375577
213,Mobile,Success,2025-10-25 10:17:47.375579
969,Desktop,Success,2026-03-31 10:17:47.375580
742,Mobile,Success,2026-02-13 10:17:47.375582
186,Mobile,Failed,2026-04-27 10:17:47.375583
674,Mobile,Success,2026-01-18 10:17:47.375584
151,Desktop,Failed,2025-10-15 10:17:47.375586
701,Mobile,Failed,2025-10-18 10:17:47.375587
196,Desktop,Success,2025-12-12 10:17:47.375589
197,Mobile,Success,2026-01-20 10:17:47.375590
793,Mobile,Failed,2025-08-31 10:17:47.375592
612,Mobile,Failed,2025-07-03 10:17:47.375593
71,Mobile,Failed,2025-07-19 10:17:47.375595
324,Desktop,Failed,2026-02-20 10:17:47.375596
385,Desktop,Failed,2026-01-27 10:17:47.375598
558,Desktop,Failed,2025-06-13 10:17:47.375600
307,Mobile,Failed,2025-12-29 10:17:47.375601
277,Mobile,Success,2025-08-19 10:17:47.375603
251,Desktop,Failed,2026-01-25 10:17:47.375604
854,Mobile,Failed,2025-08-05 10:17:47.375606
805,Mobile,Failed,2026-03-30 10:17:47.375607
256,Mobile,Failed,2025-08-07 10:17:47.375609
708,Mobile,Success,2026-01-30 10:17:47.375610
148,Desktop,Success,2025-12-15 10:17:47.375612
497,Mobile,Success,2026-01-15 10:17:47.375613
148,Mobile,Success,2025-06-03 10:17:47.375615
450,Desktop,Failed,2026-04-27 10:17:47.375616
967,Mobile,Success,2025-08-26 10:17:47.375618
398,Desktop,Success,2025-07-20 10:17:47.375620
508,Desktop,Failed,2025-11-12 10:17:47.375621
610,Desktop,Success,2025-12-11 10:17:47.375623
415,Desktop,Failed,2026-02-13 10:17:47.375624
624,Mobile,Failed,2025-06-26 10:17:47.375626
416,Desktop,Success,2025-10-31 10:17:47.375627
693,Mobile,Success,2025-09-30 10:17:47.375629
571,Mobile,Failed,2025-09-06 10:17:47.375630
618,Mobile,Success,2025-06-21 10:17:47.375631
356,Mobile,Failed,2026-05-26 10:17:47.375633
31,Desktop,Failed,2025-08-04 10:17:47.375635
191,Mobile,Failed,2025-09-01 10:17:47.375636
953,Mobile,Success,2026-01-30 10:17:47.375638
193,Mobile,Success,2025-08-10 10:17:47.375639
732,Desktop,Success,2025-10-13 10:17:47.375641
530,Desktop,Success,2026-04-23 10:17:47.375642
461,Desktop,Failed,2025-09-09 10:17:47.375643
604,Desktop,Success,2026-02-09 10:17:47.375645
414,Desktop,Failed,2025-06-18 10:17:47.375647
379,Mobile,Failed,2026-04-26 10:17:47.375648
376,Desktop,Success,2025-10-19 10:17:47.375650
514,Mobile,Failed,2026-02-02 10:17:47.375651
584,Mobile,Failed,2026-04-01 10:17:47.375652
47,Mobile,Failed,2025-11-29 10:17:47.375654
480,Desktop,Success,2026-03-30 10:17:47.375656
282,Mobile,Success,2025-06-22 10:17:47.375657
40,Desktop,Failed,2025-07-17 10:17:47.375659
454,Mobile,Failed,2025-10-07 10:17:47.375661
436,Mobile,Success,2025-07-12 10:17:47.375662
979,Mobile,Failed,2026-01-10 10:17:47.375664
923,Desktop,Success,2026-03-14 10:17:47.375666
242,Mobile,Success,2025-07-27 10:17:47.375667
631,Mobile,Failed,2025-11-03 10:17:47.375669
487,Mobile,Success,2026-01-01 10:17:47.375670
974,Desktop,Failed,2025-05-30 10:17:47.375672
556,Desktop,Failed,2025-10-12 10:17:47.375674
561,Desktop,Failed,2026-01-07 10:17:47.375675
368,Mobile,Failed,2025-09-08 10:17:47.375677
471,Mobile,Success,2025-08-03 10:17:47.375679
907,Desktop,Failed,2026-05-06 10:17:47.375680
698,Mobile,Success,2026-03-20 10:17:47.375682
550,Mobile,Success,2026-04-21 10:17:47.375684
449,Desktop,Failed,2025-12-15 10:17:47.375685
182,Mobile,Failed,2025-08-01 10:17:47.375687
327,Desktop,Success,2026-03-12 10:17:47.375688
735,Desktop,Success,2026-03-29 10:17:47.375690
480,Mobile,Success,2025-11-21 10:17:47.375692
524,Mobile,Success,2025-09-20 10:17:47.375693
678,Mobile,Success,2025-12-06 10:17:47.375695
619,Mobile,Success,2026-02-23 10:17:47.375697
396,Mobile,Failed,2026-03-08 10:17:47.375698
193,Desktop,Failed,2025-09-10 10:17:47.375700
940,Desktop,Failed,2025-06-16 10:17:47.375701
516,Desktop,Success,2026-05-01 10:17:47.375703
16,Desktop,Success,2025-09-11 10:17:47.375704
460,Desktop,Failed,2026-01-04 10:17:47.375706
636,Mobile,Failed,2025-08-08 10:17:47.375708
648,Mobile,Failed,2026-03-22 10:17:47.375709
890,Mobile,Success,2026-01-31 10:17:47.375711
